week,day,code,workout
1,Day 1,W01D1-Cross Training,"Optional: Rest day, aerobics, yoga, bike..."
1,Day 2,W01D2-Easy Run,"• Mix run and walk, very easy pace, 15 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
1,Day 3,Rest,Rest day.
1,Day 4,W01D4-Intervals,"• Warm up walk, 5 minutes.
• Repeat 4 times, with 30 seconds rest between each:
Run, easy pace, 2 minutes. Recovery walk, 1 minute. Run, easy pace, 2 minutes. 
• Cool down, 5 to 10 minutes.
• Stretch."
1,Day 5,Rest,Rest day.
1,Day 6,Rest,Rest day.
1,Day 7,W01D7-Easy Run,"• Warm up walk, 5 minutes.
• Run, easy pace, 5 minutes.
• Recovery walk, 5 minutes.
• Run, easy pace, 5 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
2,Day 1,Rest,"Optional: Rest day, aerobics, yoga, bike..."
2,Day 2,W02D2-Easy Run,"• Warm up walk, 5 minutes.
• Run, easy pace, 5 minutes.
• Recovery walk, 5 minutes.
• Run, easy pace, 5 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
2,Day 3,Rest,Rest day.
2,Day 4,W02D4-Easy Run,"• Run, easy pace, 5 minutes.
• Recovery walk, 3 minutes.
• Run, easy pace, 5 minutes.
• Recovery walk, 3 minutes.
• Run, easy pace, 5 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
2,Day 5,Rest,Rest day.
2,Day 6,Rest,Optional: Swap Sunday's run to today.
2,Day 7,W02D7-Easy Run,"• Warm up walk, 2 minutes.
• Run, easy pace, 6 minutes.
• Recovery walk, 2 minutes.
• Run, easy pace, 6 minutes.
• Recovery walk, 2 minutes.
• Run, easy pace, 6 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
3,Day 1,W03D1-Cross Training,"Cross train, 30 minutes. Suggestions can be found at: https://github.com/ColinFay/ur-first-5k/discussions/109"
3,Day 2,W03D2-Recovery Run,"• Run, easy pace, 15 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
3,Day 3,Rest,Rest day.
3,Day 4,W03D4-Easy Run,"• Run, easy pace, 10 minutes.
• Recovery walk, 5 minutes.
• Run, easy pace, 10 minutes.
• Cool down, 5 to 10 minutes.
• Stretch"
3,Day 5,Rest,Rest day.
3,Day 6,Rest,Optional: Swap Sunday's run to today.
3,Day 7,W03D7-Easy Run,"• Run, easy pace, 15 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
4,Day 1,W04D1-Cross Training,"Cross train, 30 minutes. Suggestions can be found at: https://github.com/ColinFay/ur-first-5k/discussions/109"
4,Day 2,W04D2-Steady Run,"• Run, easy pace, 5 minutes.
• Run, steady pace, 5 minutes.
• Run, easy pace, 5 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
4,Day 3,Rest,Rest day.
4,Day 4,W04D4-Easy Run,"• Warm up walk, 5 minutes.
• Run, easy pace, 10 minutes.
• Recovery walk, 5 minutes.
• Run, easy pace, 10 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
4,Day 5,Rest,Rest day.
4,Day 6,Rest,Optional: Swap Sunday's run to today.
4,Day 7,W04D7-Easy Run,"• Run, easy pace, 15 to 20 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
5,Day 1,W05D1-Cross Training,"Cross train, 30 minutes. Suggestions can be found at: https://github.com/ColinFay/ur-first-5k/discussions/109"
5,Day 2,W05D2-Intervals,"• Warm up, 15 minutes.
• Run, Steady pace, 3 minutes. Recovery run, 2 minutes. Repeat 3 times.
• Cool down, 5 to 10 minutes.
• Stretch."
5,Day 3,Rest,Rest day.
5,Day 4,W05D4-Easy Run,"• Warm up walk, 3 minutes.
• Run, easy pace, 15 minutes.
• Recovery walk, 3 minutes.
• Run, easy pace, 15 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
5,Day 5,Rest,Rest day.
5,Day 6,Rest,Optional: Swap Sunday's run to today.
5,Day 7,W05D7-Easy Run,"• Run, easy pace, 30 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
6,Day 1,W06D1-Cross Training,"Cross train, 30 minutes. Suggestions can be found at: https://github.com/ColinFay/ur-first-5k/discussions/109"
6,Day 2,W06D2-Intervals,"• Warm up, 15 minutes.
• Run, steady pace, 3 minutes. Recovery run, 2 minutes. Repeat 4 times.
• Cool down, 5 to 10 minutes.
• Stretch."
6,Day 3,Rest,Rest day.
6,Day 4,W06D4-Easy Run,"• Warm up walk, 5 minutes.
• Run, easy pace, 25 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
6,Day 5,Rest,Rest day.
6,Day 6,Rest,Optional: Swap Sunday's run to today.
6,Day 7,W06D7-Easy Run,"• Run, easy pace, 40 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
7,Day 1,W07D1-Cross Training,"Cross train, 30 minutes. Suggestions can be found at: https://github.com/ColinFay/ur-first-5k/discussions/109"
7,Day 2,W07D2-Easy Run,"• Run, easy pace, 20 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
7,Day 3,Rest,Rest day.
7,Day 4,W07D4-Steady Run,"• Run, easy pace, 5 minutes.
• Run, steady pace, 5 minutes.
• Run, easy pace, 5 minutes.
• Run, steady pace, 5 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
7,Day 5,Rest,Rest day.
7,Day 6,Rest,Optional: Swap Sunday's run to today.
7,Day 7,W07D7-Easy Run,"• Run, easy pace, 30 to 40 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
8,Day 1,Rest,Rest day.
8,Day 2,W08D2-Intervals,"• Warm up, 15 minutes.
• Run, steady pace, 5 minutes. Recovery run, 2 minutes. Repeat 3 times.
• Cool down, 5 to 10 minutes.
• Stretch."
8,Day 3,W08D3-Cross Training,"Cross train, Suggestions can be found at: https://github.com/ColinFay/ur-first-5k/discussions/109"
8,Day 4,W08D4-Steady Run,"• Run, easy pace, 6 minutes.
• Run, steady pace, 6 minutes.
• Run, easy pace, 6 minutes.
• Run, steady pace, 6 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
8,Day 5,Rest,Rest day.
8,Day 6,Rest,Optional: Swap Sunday's run to today.
8,Day 7,W08D7-Easy Run,"• Run, easy pace, 40 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
9,Day 1,Rest,Rest day.
9,Day 2,W09D2-Intervals,"• Warm up, 5 to 10 minutes.
• Run, steady pace, 5 minutes. Walk, 2 minutes. Repeat 4 times.
• Cool down, 5 to 10 minutes.
• Stretch."
9,Day 3,Rest,Rest day.
9,Day 4,W9D4-Steady Run,"• Run, easy pace, 10 minutes.
• Run, steady pace, 10 minutes.
• Run, easy pace, 10 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
9,Day 5,Rest,Rest day.
9,Day 6,Rest,Optional: Swap Sunday's run to today.
9,Day 7,W09D7-Easy Run,"• Run, easy pace, 30 to 40 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
10,Day 1,Rest,Rest day.
10,Day 2,W10D2-Intervals,"• Warm up, 15 minutes.
• Run, steady pace, 5 minutes. Recovery run, 2 minutes. Repeat 3 times.
• Cool down, 5 to 10 minutes.
• Stretch."
10,Day 3,Rest,Rest day.
10,Day 4,W10D4-Easy Run,"• Run, easy pace, 20 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
10,Day 5,Rest,Rest day.
10,Day 6,W10D6-Recovery Run,Optional: Swap Sunday's run to today.
10,Day 7,W10D7-5k Race,RACE DAY! GOOD LUCK!